0002_riccione_17_10_2020__12_03_51.png,maybe
0003_malcesine_19_10_2020__13_20_20.png,no
0004_nw_montalt_18_10_2020__11_04_11.png,yes
0007_nw_zacinto_20_10_2020__10_06_43.png,maybe
0008_nw_almerehaven_19_10_2020__13_20_27.png,yes
0009_nw_alvarmontseny_19_10_2020__13_42_36.png,no
0011_thuile_19_10_2020__13_42_31.png,maybe
0012_campegli_19_10_2020__17_21_04.png,yes
0013_campegli_17_10_2020__10_51_21.png,no
0014_nw_almerehaven_20_10_2020__16_24_58.png,yes
0015_nw_zacinto_19_10_2020__12_36_00.png,maybe
0016_nw_alpago_20_10_2020__16_04_11.png,yes
0017_nw_almerehaven_19_10_2020__13_57_18.png,yes
0018_albisola_20_10_2020__10_59_19.png,no
0019_nw_alpago_18_10_2020__11_18_59.png,no
0020_nw_almerehaven_18_10_2020__12_41_07.png,no
0021_nw_alvarmontseny_18_10_2020__17_11_05.png,no
0023_nw_montalt_19_10_2020__15_51_09.png,maybe
0024_riccione_16_10_2020__12_02_50.png,yes
0025_nw_dieeksepark_19_10_2020__14_33_48.png,maybe
0026_nw_veulettes_18_10_2020__17_03_46.png,yes
0027_nw_alvarmontseny_19_10_2020__11_50_03.png,maybe
0028_nw_veulettes2_19_10_2020__13_05_51.png,yes
0029_nw_zacinto_18_10_2020__11_26_24.png,no
0030_thuile2_17_10_2020__13_36_56.png,maybe
0031_nw_almerehaven_18_10_2020__15_42_41.png,no
0032_nw_dieeksepark_17_10_2020__17_50_01.png,no
0034_thuile2_20_10_2020__16_24_51.png,yes
0035_nw_zacinto_19_10_2020__15_58_30.png,no
0037_malcesine_18_10_2020__12_18_41.png,no
0038_malcesine_18_10_2020__14_42_18.png,yes
0040_bassano_17_10_2020__12_55_27.png,no
0041_nw_poperinge_18_10_2020__12_41_06.png,no
0043_thuile2_18_10_2020__15_42_32.png,yes
0045_thuile2_19_10_2020__11_57_19.png,yes
0046_campegli_20_10_2020__17_16_44.png,yes
0047_nw_alpago_20_10_2020__15_44_43.png,yes
0048_thuile2_20_10_2020__15_34_21.png,yes
0049_nw_poperinge_20_10_2020__10_17_56.png,yes
0050_thuile2_19_10_2020__13_05_40.png,no
0051_nw_zacinto_17_10_2020__17_13_09.png,no
0052_nw_montalt_19_10_2020__12_28_39.png,maybe
